feature,weight
berkah,5.352953461236045
pstoto,4.551703089099252
situs,3.122073338890931
xuxu,3.013605298188028
bukit,2.831101825023331
dora,2.8200581990336495
bambu,2.805799666914548
bermain,2.5095634414840244
supermoney,2.382642297476938
pangeran,2.3804771962839686
giat,2.3473642845245375
kyt,2.326239753687749
pluto,2.1671661795142185
jptogel,2.075793927336048
jalak,2.0701736656611955
kuas,2.0603502056799936
fire,2.028939669574268
bbca,1.9765163430624868
rezeki,1.964161260058567
hoki,1.9047974578867075
poa,1.886665239076514
bardi,1.8859473131490487
insan,1.8630593607781822
ton,1.7787497390472171
gelora,1.7740711035680454
wahana,1.771343480087899
cuan,1.7489857846414623
main,1.7400265881596266
sepatu,1.6918191847496662
gacor,1.602045292971887
javaland,1.5627327898986552
heran,1.5140188439552933
menang,1.5014283316288959
weton,1.420713497186966
modal,1.4114113051348822
high,1.3960741666100374
pulau,1.3739613447213477
collision,1.3422636402191719
terpercaya,1.335224644595121
jarum,1.2971685276254061
sambil,1.2778312577160003
trending,1.273977494844255
lollipop,1.2440885688811794
king aloy,1.2411046243559127
cermat,1.2404977561511876
joy face,1.2387517370635535
emosi,1.2315809112587415
podcastnya,1.228383458894941
besar,1.2212293994015497
mangkok,1.2164573711449804
jamin,1.2088090032221352
harta,1.20732751878881
bonus,1.204738289042682
bem,1.19354946312511
pushpin,1.1857989642787754
cantik high,1.183904046310827
maxwin,1.1601596635675324
drooling,1.1591968430055224
drooling face,1.1591968430055224
eropa,1.1386413657974777
langsung,1.1314682067320105
real,1.124674483541219
tetap,1.1232006746238348
peluang,1.122955792465648
button,1.1157149070675847
voli,1.1137931583678022
selalu,1.1117046685660192
spesial,1.109604004876267
juara dunia,1.1086953597278506
serius,1.1045629728130062
star,1.099357419338535
kino,1.0976822065361063
jepe,1.0976727886649946
ragu,1.0841474360107985
sastra,1.073518322578243
hasil,1.0697945723242563
solusi,1.0675820227360497
green,1.0579173345517452
auto,1.0528568773980376
logic,1.0460863885670229
singgah,1.0435321878738415
kejutan,1.0355090224883756
nagamastoto,1.0210180405299414
high voltage,1.0182576413782398
voltage,1.0182576413782398
kobe,1.0029664813502033
toga,0.9902055790666547
populer,0.9885354721645359
segampang,0.981500915998914
langsung aja,0.9796480219832289
batre,0.9774309049699796
mainkan,0.9760008849645239
google,0.9747845303163986
bravy,0.9721802565657471
grinning squinting,0.9721479432443028
gac rwin,0.9662630680493169
gac,0.9662630680493169
rwin,0.9662630680493169
squinting,0.9615503496431727
squinting face,0.9615503496431727
konten selalu,0.9582116522066433
wkwkkw,0.9502391516205612
disini,0.9490295309579395
sinden,0.9438515655566414
hadiah,0.9405205388700909
gak pernah,0.9404371642335686
tuyul,0.9372037837785812
wd,0.9322368940114174
red,0.9319806287008825
juara,0.9310562317249269
tiada,0.9292207596473407
parkit,0.9287830078630297
ribbon,0.9189542079320108
pengguna,0.9026312198470479
nemu,0.9025645831071512
visualnya,0.8968006255715708
ngerti,0.8951072495446384
blossom,0.8912665066719816
snowflake,0.8862503805441431
terbaik,0.8847830453224222
healing,0.8823322672101388
berikan,0.8819448422386469
warung,0.8797076878934964
tujuh,0.8785098902843123
wajib,0.8741433125307216
aero,0.8728917816278967
pantas trending,0.869532350682545
jaminnn,0.8681993533819364
ikut,0.8676165029954823
rtp,0.8631799180689991
hari,0.8580779095458779
keju,0.8555997412678907
nambah,0.8548139779050601
sajak,0.8528444153079764
promo,0.8527949485003098
berkat,0.8517448710174016
event,0.8516135046413431
buka,0.851063155026324
stasiunhoki,0.8497033777134001
berbagi,0.8421098784712061
indra,0.841015220921037
gampang,0.8381783008570206
apaan,0.8337032358314733
dola,0.8264528739054527
naga,0.8243117879155328
emang,0.8238410837284782
relieved,0.8191817919043952
relieved face,0.8191817919043952
bawa pulang,0.8178021804681416
banyak game,0.8008211268706069
game seru,0.8008211268706069
bullseye,0.8007636902353115
keren,0.8003203564198907
sempit,0.7970521533927662
trophy,0.7961973118471581
buruan,0.795596077076493
pantas,0.7929424082933257
whale,0.7907470963747967
untung,0.790265224932532
ngasih,0.7866723652186001
abis,0.7839651149070863
teruss,0.782032501326311
sparkles,0.7818165121668519
naik,0.780826103811354
jackpot,0.7780263567602476
crown bem,0.7760461788481479
bem crown,0.7760461788481479
sesuai,0.7760390346810588
cepat,0.7721484941113199
game paling,0.7696251634696738
mental,0.7667055175236908
menang jutaan,0.7665784674724065
money,0.7639683918163608
bbca grinning,0.7632902458350133
joy bbca,0.7632902458350133
king,0.7624698060349467
crown,0.7601739950299348
maen,0.7595989025499852
gas,0.7554699438566642
nahan,0.7529329677098324
stone,0.7471477089827607
gem stone,0.7471477089827607
gem,0.7471477089827607
kemenangan,0.746672747111402
victory hand,0.746061455262251
victory,0.746061455262251
berkali,0.7439382864763113
berkali kali,0.7439382864763113
tempatnya,0.7324916857391955
utama,0.7323784885117457
pasti,0.7224596654588689
gampang jepe,0.7213316902235618
kira orang,0.718288022196897
main high,0.7174352211185541
penasaran,0.7170785523374182
nagih,0.7141055086841701
pecah,0.7130113211757914
duit,0.7109064656668709
gak pelit,0.7090942407763727
da,0.7089545596879488
tujuh tujuh,0.7087762479333055
globe,0.7077804072037681
anak kecil,0.7059152440651733
slot,0.7033212481402584
kreatif,0.7021754535710416
senyum,0.6998314727006334
gokil,0.6940618562904066
betawi,0.6897899120020714
dompet,0.689398461533391
keberuntungan,0.6888728500407494
ton cerita,0.6879984004137644
wedey,0.6845540346313532
face bbca,0.6829946865018127
cobain,0.6826475744361616
situs lain,0.6813581330911244
circle,0.6809060037864407
pagi pagi,0.6791201278112063
buka pstoto,0.6775780880726235
perhatian,0.6765734365999772
nyata,0.6750122839998823
jangan ragu,0.6724375110719399
green square,0.6700279943100745
square,0.6700279943100745
warna,0.6694736022600722
salam bambu,0.6689574671458733
mark button,0.6686542407643994
pascol,0.6680831533188063
katanya,0.6611388816326559
pas dapat,0.6601285463275608
joy abs,0.6597358494816095
nonton sambil,0.6574870318941766
gagal,0.657102742503135
viral,0.6549351453463215
ikutin,0.6547442302642754
bardi green,0.654486783685799
bermain sepatu,0.6512118810724012
hanya,0.650914178877755
bacot,0.6490467769652256
arrow,0.644726878590355
optimis,0.6442461114125765
backhand,0.6428576197989431
backhand index,0.6428576197989431
layanan,0.6423337825855832
heart eyes,0.6386026904650015
with heart,0.6386026904650015
bkin,0.6384882858757237
memanjakan,0.6382898183560581
memanjakan mata,0.6382898183560581
datang,0.6380499702531353
fire fire,0.636534484928583
lain,0.6357342847633776
sang,0.6324163095283505
lalu,0.6309551482683015
terima,0.6304376853651147
sambilan,0.6304365776427199
hand,0.6289083365073111
abs,0.6285929930499371
rb menang,0.6285929930499371
tenang,0.6283987410815994
vios,0.6265916176664375
situs vios,0.6265916176664375
